kind,case,bytes,chunks,events,validation,current_ns,current_ns_min,current_ns_max,current_mib_s,published_ns,published_ns_min,published_ns_max,published_mib_s,core_ns,core_ns_min,core_ns_max,core_mib_s,speedup_vs_published,speedup_vs_published_min,speedup_vs_published_max,time_change_vs_published_pct,consistency_vs_published,speedup_vs_core,speedup_vs_core_min,speedup_vs_core_max,time_change_vs_core_pct,consistency_vs_core
decode,large_json_base64_tcp,2561216,1755,64,all_three_match_reference,127264.73598402001,127119.69450566352,135898.85848633602,19192.79444602353,1001559.6975833498,989841.5491953033,1037453.6434231516,2438.762186480132,134959.65066908827,132132.8346485453,139670.2417934307,18098.490221775635,7.786689175462134,7.634012934166497,7.869891764118464,-87.15757136998279,all_rounds_faster_over_3pct,1.0394363765770256,1.027751397981565,1.0604638403998612,-3.79401543622071,mixed_or_near_boundary
decode,mixed_json_tcp,1620190,1110,10010,all_three_match_reference,588779.3383859468,565511.605406387,655379.0941450266,2624.29995409486,988535.3997377672,959677.017178924,989158.1971194498,1563.0533728059977,740499.1894459148,716189.1534086266,787813.0164960581,2086.6107792155753,1.6789573534419424,1.5092916541835286,1.6970067599042156,-40.43922569266263,all_rounds_faster_over_3pct,1.2664446610144453,1.129879173842021,1.3380446036977678,-21.038792235976445,all_rounds_faster_over_3pct
decode,mixed_json_whole,1620190,1,10010,all_three_match_reference,524011.6536962036,513129.8998418511,539049.5825899442,2948.662648625054,1139155.9857409305,1121667.0201172107,1444178.5518882535,1356.3845601822964,745249.9665202396,702818.899689384,944625.4310551336,2073.3091715694554,2.1859319062539786,2.1739134572784855,2.6791200634076775,-54.25292081885134,all_rounds_faster_over_3pct,1.452361218377508,1.3412276134164836,1.7523906177916688,-31.146605448667884,all_rounds_faster_over_3pct
decode,mixed_multiline_tcp,570190,391,10010,all_three_match_reference,494850.929686616,477275.9043575217,506412.8688522178,1098.8674080415433,1035506.3878763696,918335.045947385,1067185.5099728452,525.1300859542372,778781.3677316655,721724.0655240635,920657.0475517532,698.2390450037593,2.092562276344808,1.8134117484588943,2.2359928507378184,-52.21169705177166,all_rounds_faster_over_3pct,1.5737696364940845,1.4251692836318466,1.9289828779248408,-36.45829879983463,all_rounds_faster_over_3pct
decode,mixed_multiline_whole,570190,1,10010,all_three_match_reference,479195.5273789015,474410.1827242814,496609.0118334256,1134.7675998689247,965766.1844220618,956656.8338880884,1052138.3176306817,563.0509405307956,822672.3738207899,731156.0827272541,850135.729080702,660.9867740497814,2.0165183394557955,2.0153906479565853,2.118645237117835,-50.40957573091681,all_rounds_faster_over_3pct,1.7118813972829343,1.5257990547752476,1.7340951011983488,-41.584738195813046,all_rounds_faster_over_3pct
decode,alternating_sizes_tcp,2569024,1760,128,all_three_match_reference,139031.38990312145,132108.33722812144,141565.04103046443,17622.00758216144,1114299.341654385,1091173.4070445427,1115785.2165474547,2198.702014302324,150925.83854465114,144629.5089069098,152820.1474517501,16233.219113812762,7.871288939298161,7.848396019092407,8.445986377231772,-87.29560040659409,all_rounds_faster_over_3pct,1.0661236520404236,1.0402651444949889,1.1567789789668157,-6.202249796622683,all_rounds_faster_over_3pct
decode,varied_sizes_tcp,627840,431,64,all_three_match_reference,36374.23455378968,34733.43808069304,39939.57748664251,16460.961726275505,241377.87527832357,239819.224529608,274709.32510585163,2480.5706907565523,33122.12469531559,32089.47695819753,43392.28924398138,18077.188233554985,6.8781229645638104,6.63595751881397,6.904563377010297,-85.46114971843315,all_rounds_faster_over_3pct,0.9536091595184436,0.8822034979387424,1.0864483796428142,4.864764565074342,mixed_or_near_boundary
decode,comment_crlf_tcp,600000,411,0,all_three_match_reference,469921.6924038517,444298.8076711178,492288.69556330534,1217.6594506984286,672967.1446559022,656050.0169516711,1994635.954336084,850.2712121797958,1234303.8735282193,1210753.2666136369,1498240.8348359333,463.58486116398626,1.4765963932932664,1.4320835908071952,4.051760628087764,-32.27668680879743,all_rounds_faster_over_3pct,2.778094048908376,2.5765000556158895,3.043419132591617,-64.00409840721771,all_rounds_faster_over_3pct
encode,small_json,37,1,1,identical_wire,14.73557954464643,14.3914701078251,14.939804441512365,2394.608885257652,93.30792654718573,85.16441374026836,100.17740435966085,378.1666897204835,,,,,6.483557680215814,5.779508941757866,6.705402654488819,-84.57636918922708,all_rounds_faster_over_3pct,,,,,
encode,metadata_json,79,1,1,identical_wire,72.13199122430989,69.86382130506573,73.97671600143855,1044.477903872181,115.43489339070302,114.09529168952513,119.65109696187346,652.6646214424586,,,,,1.6174156333128755,1.5817571337344807,1.6522842758149132,-38.172973019201784,all_rounds_faster_over_3pct,,,,,
encode,large_ascii,40008,1,1,identical_wire,664.7475816342125,652.1169470688221,746.5393374202125,57397.12803013461,1251.179962153477,1199.9121351019155,1898.5797220457036,30494.895382684354,,,,,1.8821880616362405,1.8400259960968028,2.5431743873089836,-46.87034625378131,all_rounds_faster_over_3pct,,,,,
encode,large_utf8,40016,1,1,identical_wire,812.8419270606888,677.151362564572,828.4294337271301,46949.14247756712,1284.4345798704687,1071.0888010665205,1334.0097156480883,29711.308028752264,,,,,1.641167453642543,1.2929149514252025,1.8968204907776247,-39.067765584766065,all_rounds_faster_over_3pct,,,,,
encode,empty_with_retry,49,1,1,identical_wire,47.456355133462225,45.844243641981045,47.794863506218555,984.6951240247308,96.92672983744339,96.08112075198632,112.63445878308593,482.1171784323848,,,,,2.0279737764044943,2.0246207379765244,2.456894254002763,-50.689697685689275,all_rounds_faster_over_3pct,,,,,
