kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,small_data_event_chunks,2,published,6459725.45625,6065714.25,6159247.82171875,6819976.625312501
decode,small_data_event_chunks,2,core,4985953.920833334,4718018.25,4762367.244583333,5267391.971979166
decode,small_data_event_chunks,3,current,4629234.2375,4408149.333333334,4512426.865833334,4755595.697500002
decode,small_data_event_chunks,3,published,5834544.01875,5744978.875,5762027.17359375,5924144.1440624995
decode,small_data_event_chunks,3,core,4582681.545833335,4495104.583333334,4510608.326458334,4671613.674479167
decode,small_data_4b_chunks,1,current,11088191.05833333,10188638.666666668,10568052.376041668,11693586.203125002
decode,small_data_4b_chunks,1,published,15999935.6,15529799.25,15665158.6146875,16431541.50625
decode,small_data_4b_chunks,1,core,10721035.608333332,9975516.166666668,10214583.890000002,11286752.458124999
decode,small_data_4b_chunks,2,current,11062468.591666667,10561775.833333332,10647404.983125001,11589737.548124999
decode,small_data_4b_chunks,2,published,17096340.8375,16408679.0,16503396.53125,17827626.281875
decode,small_data_4b_chunks,2,core,9955116.574999997,9369466.5,9515406.230833337,10485672.895833338
decode,small_data_4b_chunks,3,current,10761987.216666667,10139966.5,10344364.397499997,11259387.508333335
decode,small_data_4b_chunks,3,published,15694852.2875,15324410.75,15387299.262500001,16118762.8759375
decode,small_data_4b_chunks,3,core,9210133.675,8901823.0,8976309.576041665,9510381.083541665
decode,metadata_events_tcp_chunks,1,current,5562471.305000001,5144824.5,5311930.022375,5841594.275999999
decode,metadata_events_tcp_chunks,1,published,9868620.283333331,8268455.166666666,8723657.121874997,11525618.86229167
decode,metadata_events_tcp_chunks,1,core,5348285.3,5195450.5,5243699.3366249995,5476056.017
decode,metadata_events_tcp_chunks,2,current,4787707.1375,4338483.333333334,4516099.549479165,5101082.580624999
decode,metadata_events_tcp_chunks,2,published,7422238.825,6906594.833333334,7028793.933125,7892541.256666666
decode,metadata_events_tcp_chunks,2,core,5161716.341666667,4922195.583333334,4942004.656979167,5435337.618541668
decode,metadata_events_tcp_chunks,3,current,4502602.517857144,4274751.285714285,4317746.372142857,4742506.939464284
decode,metadata_events_tcp_chunks,3,published,8079967.11875,7249005.0,7585904.5028125,8607819.05328125
decode,metadata_events_tcp_chunks,3,core,5118183.220833335,4662952.666666666,4855937.516666667,5428221.475937499
decode,multiline_data_tcp_chunks,1,current,2972800.4083333337,2782724.388888889,2860316.5137500004,3101509.545972222
decode,multiline_data_tcp_chunks,1,published,5058924.800000003,4876646.916666667,4908405.528020835,5244528.162708335
decode,multiline_data_tcp_chunks,1,core,3084604.840625,2968238.125,3003744.1657031253,3185077.114453125
decode,multiline_data_tcp_chunks,2,current,3100198.2611111114,2929575.5,2952012.1553472215,3282405.2189583336
decode,multiline_data_tcp_chunks,2,published,4673922.441666666,4407801.666666666,4470740.5538541665,4920754.107604166
decode,multiline_data_tcp_chunks,2,core,3452624.15625,3145503.3125,3232718.2150781252,3704905.28515625
decode,multiline_data_tcp_chunks,3,current,2859096.271875,2734582.625,2750229.3646875,3002131.655234375
decode,multiline_data_tcp_chunks,3,published,4422020.466666668,4208427.666666666,4259743.114166668,4636477.351562501
decode,multiline_data_tcp_chunks,3,core,3141810.4722222215,2937070.722222222,3009822.566249999,3300248.9040277773
decode,keepalive_whole_stream_chunk,1,current,999929.8647632541,960834.4016812865,968668.7649688498,1038391.7163789568
decode,keepalive_whole_stream_chunk,1,published,2203793.712879689,2144895.4285714286,2148781.1036323193,2269754.3307894394
decode,keepalive_whole_stream_chunk,1,core,1164314.688889657,1122237.0407407407,1133755.3590382019,1202506.2776407509
decode,keepalive_whole_stream_chunk,2,current,1030346.8467694711,964946.4702797203,983692.6307979836,1092897.986821092
decode,keepalive_whole_stream_chunk,2,published,2353780.4004860977,2173643.2666666666,2230504.956015692,2499192.1729352884
decode,keepalive_whole_stream_chunk,2,core,1191132.5487774636,1117235.8701923077,1142828.0312797842,1250011.2127947535
decode,keepalive_whole_stream_chunk,3,current,1032235.8853544814,951567.4350961539,979868.0266090416,1099137.8345748424
decode,keepalive_whole_stream_chunk,3,published,2235839.0291474387,2103106.665,2139110.516406791,2355017.8039204264
decode,keepalive_whole_stream_chunk,3,core,1155647.9881910451,1091573.441666667,1107109.9802218182,1216516.3264754005
decode,keepalive_tcp_chunks,1,current,1050914.5207257038,991872.9438895418,1011560.6936594835,1099280.6417790495
decode,keepalive_tcp_chunks,1,published,2126232.5140917283,2017969.4855072466,2045757.2183056069,2226233.0593028925
decode,keepalive_tcp_chunks,1,core,1221209.4743088349,1152763.5343980344,1173527.6320787922,1279770.4302374793
decode,keepalive_tcp_chunks,2,current,1138527.0803135415,1012723.6214285714,1058076.3619195877,1234925.8328131705
decode,keepalive_tcp_chunks,2,published,2135766.4347112468,2022201.1255387932,2040915.9234397789,2252003.165443879
decode,keepalive_tcp_chunks,2,core,1227907.2978837837,1161844.86875,1173019.5982870406,1295910.7875859675
decode,keepalive_tcp_chunks,3,current,1024619.645097174,980407.2476190476,982650.2952144137,1081456.5071953116
decode,keepalive_tcp_chunks,3,published,2086350.1102603183,1969305.3396825397,2000610.3928514204,2194731.9888214422
decode,keepalive_tcp_chunks,3,core,1276020.548349975,1146066.3536324785,1200131.96821772,1362350.9492768422
decode,keepalive_line_chunks,1,current,3595340.564285713,3381825.071428572,3451837.5386607153,3774263.583392857
decode,keepalive_line_chunks,1,published,7456607.2625,7158675.875,7236708.89265625,7717854.08796875
decode,keepalive_line_chunks,1,core,3445736.6,3212116.4375,3295689.070234375,3625585.4921875
decode,keepalive_line_chunks,2,current,3536927.909375,3340380.75,3379990.1614062497,3731931.9295312497
decode,keepalive_line_chunks,2,published,7565056.64375,6955860.75,7199790.0725,7972780.9490625
decode,keepalive_line_chunks,2,core,3330724.1125,3099953.9375,3169003.8721875,3528866.468828125
decode,keepalive_line_chunks,3,current,3639626.403125,3288922.4375,3404867.9159375,3906962.37015625
decode,keepalive_line_chunks,3,published,7121582.9,6788029.5,6858114.731562501,7438886.744843749
decode,keepalive_line_chunks,3,core,3220195.805555556,3030434.0555555555,3066667.9370138897,3413982.8595138886
decode,keepalive_4b_chunks,1,current,10948063.341666667,10571738.5,10659362.364166664,11302482.077708332
decode,keepalive_4b_chunks,1,published,22193129.9625,21462082.5,21644716.258125,22873560.361562498
decode,keepalive_4b_chunks,1,core,12284230.875000002,9912266.666666668,11138017.845625,13521252.499166662
decode,keepalive_4b_chunks,2,current,11464034.866666667,10594654.833333332,10924751.876666665,12066069.855416667
decode,keepalive_4b_chunks,2,published,22001702.125,21316124.75,21406220.4375,22730750.313125
decode,keepalive_4b_chunks,2,core,9925593.041666666,9403316.333333334,9535906.645624997,10398074.2
decode,keepalive_4b_chunks,3,current,10281939.8,10241983.25,10183536.853125,10402093.274375
decode,keepalive_4b_chunks,3,published,21995540.7125,20957622.75,21276986.125625,22874254.869687498
decode,keepalive_4b_chunks,3,core,9686219.699999997,9083914.166666666,9282602.942708334,10199394.386666667
decode,large_data_event_chunks,1,current,101248.63168389339,104173.57807239058,96779.91816193641,105449.7015061936
decode,large_data_event_chunks,1,published,879870.0820401225,848596.5151821862,863087.7292769785,898247.6963183437
decode,large_data_event_chunks,1,core,99957.17141782011,96977.56543224577,97941.74573031759,102305.58991064127
decode,large_data_event_chunks,2,current,81139.60327676922,78031.23749999999,78608.24698463015,84454.2456112675
decode,large_data_event_chunks,2,published,856353.0727061194,831022.075,833448.9540818039,886546.3470014328
decode,large_data_event_chunks,2,core,110810.4134868145,97014.13117816093,104058.43652707696,118246.22515261268
decode,large_data_event_chunks,3,current,82533.56075027658,74317.01176470588,78189.09769750961,87529.3967780949
decode,large_data_event_chunks,3,published,878379.0828935917,832726.43125,850396.1639354279,912870.8561031655
decode,large_data_event_chunks,3,core,95550.97875044002,91483.97576530612,92079.95633526953,100025.32408965261
decode,large_data_tcp_chunks,1,current,131398.07512997807,127289.06944444444,128106.99445374063,135786.55688025488
decode,large_data_tcp_chunks,1,published,1017979.0935362777,997319.5680555556,1000094.1004511502,1040059.2226110566
decode,large_data_tcp_chunks,1,core,135001.8553291737,130982.76271929825,131359.83223481957,139711.55171308192
decode,large_data_tcp_chunks,2,current,125720.65521069798,124458.88330200501,123782.75187106334,128793.42225185563
decode,large_data_tcp_chunks,2,published,1045180.6904971566,1000570.7961309524,1011774.5471597248,1087159.1897087174
decode,large_data_tcp_chunks,2,core,141313.3971940151,133429.03014705883,134973.29892905997,149193.4590821825
decode,large_data_tcp_chunks,3,current,139064.1498059378,126789.91587301588,128848.37625864123,152269.06383945578
decode,large_data_tcp_chunks,3,published,1061941.8510946443,1005684.8047360249,1026662.2073723718,1104294.8219845819
decode,large_data_tcp_chunks,3,core,138178.31088602313,134425.5025847808,135101.79979094496,141788.0251829386
decode,medium_data_10b_chunks,1,current,1876410.0301863768,1776389.7,1806498.441519188,1958299.8031555146
decode,medium_data_10b_chunks,1,published,3467373.996875,3323556.5,3373888.5433593746,3576796.5896875
