group,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
decode_json,progress_data_event,core,3,1,2870746,2870746,3000
decode_json,progress_data_event,simd,3,1,2875676,2875676,3000
decode_json,progress_data_event,json_only,4,1,2743413,2743413,3000
decode_json,progress_data_event,simd,4,1,2878139,2878139,3000
decode_json,progress_data_event,fused,4,1,2866139,2866139,3000
decode_json,progress_data_event,combined,4,1,2842390,2842390,3000
decode_json,progress_data_event,core,4,1,2877703,2877703,3000
decode_json,progress_data_event,baseline,4,1,2910702,2910702,3000
decode_json,progress_data_event,simd,5,1,3804905,3804905,3000
decode_json,progress_data_event,baseline,5,1,5313769,5313769,3000
decode_json,progress_data_event,json_only,5,1,4996509,4996509,3000
decode_json,progress_data_event,core,5,1,5334742,5334742,3000
decode_json,progress_data_event,fused,5,1,5280067,5280067,3000
decode_json,progress_data_event,combined,5,1,3398934,3398934,3000
decode_json,progress_data_event,baseline,6,1,2936312,2936312,3000
decode_json,progress_data_event,json_only,6,1,2714525,2714525,3000
decode_json,progress_data_event,simd,6,1,2920396,2920396,3000
decode_json,progress_data_event,fused,6,1,2904433,2904433,3000
decode_json,progress_data_event,core,6,1,2908342,2908342,3000
decode_json,progress_data_event,combined,6,1,2866811,2866811,3000
decode_json,progress_data_event,fused,7,1,2901989,2901989,3000
decode_json,progress_data_event,combined,7,1,2908156,2908156,3000
decode_json,progress_data_event,simd,7,1,2894755,2894755,3000
decode_json,progress_data_event,json_only,7,1,2706407,2706407,3000
decode_json,progress_data_event,baseline,7,1,2892888,2892888,3000
decode_json,progress_data_event,core,7,1,2881538,2881538,3000
decode_json,progress_data_event,baseline,8,1,2903189,2903189,3000
decode_json,progress_data_event,core,8,1,2952113,2952113,3000
decode_json,progress_data_event,combined,8,1,2870361,2870361,3000
decode_json,progress_data_event,fused,8,1,2903725,2903725,3000
decode_json,progress_data_event,simd,8,1,2891402,2891402,3000
decode_json,progress_data_event,json_only,8,1,2708053,2708053,3000
decode_json,progress_data_event,core,9,1,2875666,2875666,3000
decode_json,progress_data_event,simd,9,1,2927464,2927464,3000
decode_json,progress_data_event,baseline,9,1,2890989,2890989,3000
decode_json,progress_data_event,combined,9,1,2839661,2839661,3000
decode_json,progress_data_event,fused,9,1,2853063,2853063,3000
decode_json,progress_data_event,json_only,9,1,2708475,2708475,3000
decode_json,progress_data_event,simd,10,1,2886832,2886832,3000
decode_json,progress_data_event,baseline,10,1,2907422,2907422,3000
decode_json,progress_data_event,combined,10,1,2840458,2840458,3000
decode_json,progress_data_event,json_only,10,1,2725915,2725915,3000
decode_json,progress_data_event,core,10,1,2874822,2874822,3000
decode_json,progress_data_event,fused,10,1,2924986,2924986,3000
decode_json,progress_data_event,combined,11,1,2847574,2847574,3000
decode_json,progress_data_event,fused,11,1,2891274,2891274,3000
decode_json,progress_data_event,json_only,11,1,2721668,2721668,3000
decode_json,progress_data_event,baseline,11,1,2982962,2982962,3000
decode_json,progress_data_event,simd,11,1,2885403,2885403,3000
decode_json,progress_data_event,core,11,1,2868046,2868046,3000
decode_json,progress_data_event,json_only,12,1,2715674,2715674,3000
decode_json,progress_data_event,combined,12,1,2897529,2897529,3000
decode_json,progress_data_event,simd,12,1,2878245,2878245,3000
decode_json,progress_data_event,core,12,1,2871226,2871226,3000
decode_json,progress_data_event,baseline,12,1,2885747,2885747,3000
decode_json,progress_data_event,fused,12,1,2911596,2911596,3000
decode_json,progress_data_event,fused,13,1,2997180,2997180,3000
decode_json,progress_data_event,baseline,13,1,2892720,2892720,3000
decode_json,progress_data_event,simd,13,1,2899103,2899103,3000
decode_json,progress_data_event,json_only,13,1,2735290,2735290,3000
decode_json,progress_data_event,core,13,1,2865551,2865551,3000
decode_json,progress_data_event,combined,13,1,2898619,2898619,3000
decode_json,progress_data_event,fused,14,1,2930195,2930195,3000
decode_json,progress_data_event,core,14,1,2926938,2926938,3000
decode_json,progress_data_event,combined,14,1,2849914,2849914,3000
decode_json,progress_data_event,json_only,14,1,2740342,2740342,3000
decode_json,progress_data_event,baseline,14,1,2883337,2883337,3000
decode_json,progress_data_event,simd,14,1,2895721,2895721,3000
decode_json,progress_data_event,core,15,1,2920478,2920478,3000
decode_json,progress_data_event,json_only,15,1,2719064,2719064,3000
decode_json,progress_data_event,fused,15,1,2857427,2857427,3000
decode_json,progress_data_event,simd,15,1,2875151,2875151,3000
decode_json,progress_data_event,combined,15,1,2843778,2843778,3000
decode_json,progress_data_event,baseline,15,1,2877908,2877908,3000
decode_json,progress_data_event,baseline,16,1,2913917,2913917,3000
decode_json,progress_data_event,combined,16,1,2841358,2841358,3000
decode_json,progress_data_event,core,16,1,2882614,2882614,3000
decode_json,progress_data_event,fused,16,1,2854630,2854630,3000
decode_json,progress_data_event,json_only,16,1,2716378,2716378,3000
decode_json,progress_data_event,simd,16,1,2882817,2882817,3000
decode_json,progress_data_event,combined,17,1,2867288,2867288,3000
decode_json,progress_data_event,baseline,17,1,2888996,2888996,3000
decode_json,progress_data_event,simd,17,1,2900061,2900061,3000
decode_json,progress_data_event,fused,17,1,2868276,2868276,3000
decode_json,progress_data_event,json_only,17,1,2760910,2760910,3000
decode_json,progress_data_event,core,17,1,2926954,2926954,3000
decode_json,progress_data_event,baseline,18,1,2893977,2893977,3000
decode_json,progress_data_event,combined,18,1,2836208,2836208,3000
decode_json,progress_data_event,fused,18,1,2856287,2856287,3000
decode_json,progress_data_event,simd,18,1,2885446,2885446,3000
decode_json,progress_data_event,core,18,1,2878647,2878647,3000
decode_json,progress_data_event,json_only,18,1,2740301,2740301,3000
decode_json,progress_data_event,json_only,19,1,2711047,2711047,3000
decode_json,progress_data_event,core,19,1,2870163,2870163,3000
decode_json,progress_data_event,baseline,19,1,2884104,2884104,3000
decode_json,progress_data_event,combined,19,1,2846328,2846328,3000
decode_json,progress_data_event,simd,19,1,2881922,2881922,3000
decode_json,progress_data_event,fused,19,1,2948642,2948642,3000
decode_json,progress_data_event,baseline,20,1,2902368,2902368,3000
decode_json,progress_data_event,core,20,1,2892955,2892955,3000
decode_json,progress_data_event,json_only,20,1,2719825,2719825,3000
decode_json,progress_data_event,combined,20,1,2880921,2880921,3000
decode_json,progress_data_event,simd,20,1,2919986,2919986,3000
decode_json,progress_data_event,fused,20,1,2906112,2906112,3000
decode_json,progress_data_event,fused,21,1,2864453,2864453,3000
decode_json,progress_data_event,combined,21,1,2847135,2847135,3000
decode_json,progress_data_event,core,21,1,2869501,2869501,3000
decode_json,progress_data_event,json_only,21,1,2720299,2720299,3000
decode_json,progress_data_event,baseline,21,1,2877914,2877914,3000
decode_json,progress_data_event,simd,21,1,2910369,2910369,3000
decode_json,progress_data_event,json_only,22,1,2702296,2702296,3000
decode_json,progress_data_event,core,22,1,2870440,2870440,3000
decode_json,progress_data_event,baseline,22,1,2888692,2888692,3000
decode_json,progress_data_event,simd,22,1,2898936,2898936,3000
decode_json,progress_data_event,fused,22,1,2926267,2926267,3000
decode_json,progress_data_event,combined,22,1,2856266,2856266,3000
decode_json,progress_data_event,simd,23,1,2888792,2888792,3000
decode_json,progress_data_event,core,23,1,2884737,2884737,3000
decode_json,progress_data_event,fused,23,1,2888976,2888976,3000
decode_json,progress_data_event,combined,23,1,2830449,2830449,3000
decode_json,progress_data_event,json_only,23,1,2786106,2786106,3000
decode_json,progress_data_event,baseline,23,1,2957590,2957590,3000
decode_json,progress_data_event,fused,24,1,2914758,2914758,3000
decode_json,progress_data_event,core,24,1,2875597,2875597,3000
decode_json,progress_data_event,simd,24,1,2907750,2907750,3000
decode_json,progress_data_event,json_only,24,1,2714288,2714288,3000
decode_json,progress_data_event,combined,24,1,2909777,2909777,3000
decode_json,progress_data_event,baseline,24,1,2876779,2876779,3000
decode_json,progress_data_event,fused,25,1,2910295,2910295,3000
decode_json,progress_data_event,core,25,1,2901157,2901157,3000
decode_json,progress_data_event,simd,25,1,2882548,2882548,3000
decode_json,progress_data_event,baseline,25,1,2893416,2893416,3000
decode_json,progress_data_event,json_only,25,1,2779742,2779742,3000
decode_json,progress_data_event,combined,25,1,2893282,2893282,3000
decode_json,progress_data_event,core,26,1,2929010,2929010,3000
decode_json,progress_data_event,combined,26,1,2846363,2846363,3000
decode_json,progress_data_event,baseline,26,1,3169589,3169589,3000
decode_json,progress_data_event,fused,26,1,2906070,2906070,3000
decode_json,progress_data_event,simd,26,1,2923071,2923071,3000
decode_json,progress_data_event,json_only,26,1,2714705,2714705,3000
decode_json,progress_data_event,json_only,27,1,2713178,2713178,3000
decode_json,progress_data_event,core,27,1,2867625,2867625,3000
decode_json,progress_data_event,combined,27,1,2837952,2837952,3000
decode_json,progress_data_event,baseline,27,1,2923880,2923880,3000
decode_json,progress_data_event,simd,27,1,2905414,2905414,3000
decode_json,progress_data_event,fused,27,1,2857742,2857742,3000
decode_json,progress_data_event,fused,28,1,2871673,2871673,3000
decode_json,progress_data_event,simd,28,1,2879829,2879829,3000
decode_json,progress_data_event,json_only,28,1,2714732,2714732,3000
decode_json,progress_data_event,core,28,1,2900354,2900354,3000
decode_json,progress_data_event,baseline,28,1,2881345,2881345,3000
decode_json,progress_data_event,combined,28,1,2849517,2849517,3000
decode_json,progress_data_event,simd,29,1,2873538,2873538,3000
decode_json,progress_data_event,json_only,29,1,2721921,2721921,3000
decode_json,progress_data_event,baseline,29,1,2901959,2901959,3000
decode_json,progress_data_event,core,29,1,2917094,2917094,3000
decode_json,progress_data_event,combined,29,1,2914567,2914567,3000
decode_json,progress_data_event,fused,29,1,2905936,2905936,3000
decode_json,progress_data_event,combined,30,1,2868903,2868903,3000
decode_json,progress_data_event,json_only,30,1,2700394,2700394,3000
decode_json,progress_data_event,baseline,30,1,2871716,2871716,3000
decode_json,progress_data_event,simd,30,1,2935688,2935688,3000
decode_json,progress_data_event,fused,30,1,2910637,2910637,3000
decode_json,progress_data_event,core,30,1,2877658,2877658,3000
encode,progress_data_event,direct,0,3,2986548,995516,3000
encode,progress_data_event,baseline,0,2,2487770,1243885,3000
encode,progress_data_event,reserved,0,2,2064970,1032485,3000
encode,progress_data_event,reserved,1,2,2047509,1023754.5,3000
encode,progress_data_event,direct,1,3,2967084,989028,3000
encode,progress_data_event,baseline,1,2,2464062,1232031,3000
encode,progress_data_event,reserved,2,2,2064947,1032473.5,3000
encode,progress_data_event,direct,2,3,2993810,997936.6666666666,3000
encode,progress_data_event,baseline,2,2,2485616,1242808,3000
encode,progress_data_event,direct,3,3,2955981,985327,3000
encode,progress_data_event,baseline,3,2,2500610,1250305,3000
encode,progress_data_event,reserved,3,2,2114049,1057024.5,3000
encode,progress_data_event,direct,4,3,2993881,997960.3333333334,3000
encode,progress_data_event,reserved,4,2,2130711,1065355.5,3000
encode,progress_data_event,baseline,4,2,2505479,1252739.5,3000
encode,progress_data_event,reserved,5,2,2073791,1036895.5,3000
encode,progress_data_event,direct,5,3,2962454,987484.6666666666,3000
encode,progress_data_event,baseline,5,2,2532557,1266278.5,3000
encode,progress_data_event,baseline,6,2,2512107,1256053.5,3000
encode,progress_data_event,reserved,6,2,2058143,1029071.5,3000
encode,progress_data_event,direct,6,3,2955516,985172,3000
encode,progress_data_event,baseline,7,2,2479408,1239704,3000
encode,progress_data_event,direct,7,3,3017729,1005909.6666666666,3000
encode,progress_data_event,reserved,7,2,2105279,1052639.5,3000
encode,progress_data_event,reserved,8,2,2157411,1078705.5,3000
encode,progress_data_event,baseline,8,2,2495083,1247541.5,3000
encode,progress_data_event,direct,8,3,3021424,1007141.3333333334,3000
encode,progress_data_event,baseline,9,2,2533262,1266631,3000
encode,progress_data_event,reserved,9,2,2064280,1032140,3000
encode,progress_data_event,direct,9,3,2957337,985779,3000
encode,progress_data_event,direct,10,3,3062630,1020876.6666666666,3000
encode,progress_data_event,reserved,10,2,2085909,1042954.5,3000
encode,progress_data_event,baseline,10,2,2493039,1246519.5,3000
encode,progress_data_event,reserved,11,2,2097087,1048543.5,3000
encode,progress_data_event,direct,11,3,2983241,994413.6666666666,3000
encode,progress_data_event,baseline,11,2,2469896,1234948,3000
encode,progress_data_event,baseline,12,2,2448275,1224137.5,3000
encode,progress_data_event,reserved,12,2,2169011,1084505.5,3000
encode,progress_data_event,direct,12,3,3049302,1016434,3000
encode,progress_data_event,reserved,13,2,2121492,1060746,3000
encode,progress_data_event,direct,13,3,3071443,1023814.3333333334,3000
encode,progress_data_event,baseline,13,2,2503657,1251828.5,3000
encode,progress_data_event,reserved,14,2,2178307,1089153.5,3000
encode,progress_data_event,baseline,14,2,2473055,1236527.5,3000
encode,progress_data_event,direct,14,3,2951667,983889,3000
encode,progress_data_event,reserved,15,2,2047360,1023680,3000
encode,progress_data_event,direct,15,3,2949174,983058,3000
encode,progress_data_event,baseline,15,2,2471124,1235562,3000
encode,progress_data_event,direct,16,3,3129434,1043144.6666666666,3000
encode,progress_data_event,reserved,16,2,2192153,1096076.5,3000
encode,progress_data_event,baseline,16,2,2518302,1259151,3000
encode,progress_data_event,reserved,17,2,2162210,1081105,3000
encode,progress_data_event,baseline,17,2,2546437,1273218.5,3000
