group,scenario,variant,rounds,ratio_median,ratio_p10,ratio_p90,ns_per_event_median
decode_json,mixed_id_after_event,simd,31,0.9829321512445084,0.9558377549104713,1.032205173987488,1063.3256743256743
decode_json,mixed_meta_before_1460,baseline,31,1.0,1.0,1.0,1148.2602397602398
decode_json,mixed_meta_before_1460,combined,31,0.9319446785104303,0.8195385337402256,0.975861294067919,1088.027972027972
decode_json,mixed_meta_before_1460,core,31,0.9685957574078228,0.9008783829534868,1.0093080041368907,1109.897102897103
decode_json,mixed_meta_before_1460,fused,31,1.002358860779066,0.9043878637433922,1.0366270830383562,1149.8026973026972
decode_json,mixed_meta_before_1460,json_only,31,0.8057277576539006,0.7762781698046318,0.8245766627748131,925.4691974691974
decode_json,mixed_meta_before_1460,simd,31,0.9931870461512748,0.9373361787773152,1.0582396947260537,1140.3986013986014
decode_json,mixed_meta_before_event,baseline,31,1.0,1.0,1.0,1126.1748251748252
decode_json,mixed_meta_before_event,combined,31,0.9310216948730958,0.9067414951846463,0.9900293068015352,1043.8756243756243
decode_json,mixed_meta_before_event,core,31,1.0042667875492175,0.960304884391549,1.045208309836916,1120.0874125874127
decode_json,mixed_meta_before_event,fused,31,0.9962411612122222,0.9584630016197618,1.0386858014628069,1125.500999000999
decode_json,mixed_meta_before_event,json_only,31,0.8207479634986574,0.8000520164730547,0.8380255113253567,922.3916083916084
decode_json,mixed_meta_before_event,simd,31,0.984097656861462,0.9471999079156216,1.0457835021315949,1104.0664335664335
decode_json,progress_data_1460,baseline,31,1.0,1.0,1.0,986.2243333333333
decode_json,progress_data_1460,combined,31,0.9758232715532336,0.9456936205055751,1.0018946179801875,969.6766666666666
decode_json,progress_data_1460,core,31,0.9795107101857874,0.9376086396258057,1.0392337782605836,962.3523333333334
decode_json,progress_data_1460,fused,31,0.9980580221723412,0.9545130298361222,1.0275111346719124,986.4786666666666
decode_json,progress_data_1460,json_only,31,0.9205369287424134,0.8835343699576949,0.9766907096885328,906.6986666666667
decode_json,progress_data_1460,simd,31,0.9963550365766541,0.9572343828524739,1.0182299553632248,980.498
decode_json,progress_data_event,baseline,31,1.0,1.0,1.0,964.659
decode_json,progress_data_event,combined,31,0.9885084943878734,0.9570119590612627,1.0040828250016374,955.6036666666666
decode_json,progress_data_event,core,31,0.9960765850596359,0.9807601543154986,1.0141047925298843,960.5126666666666
decode_json,progress_data_event,fused,31,0.9984505564255415,0.9773800566370713,1.0135532204438042,967.9083333333333
decode_json,progress_data_event,json_only,31,0.9399962692052714,0.9279375350561583,0.9468979884774482,905.827
decode_json,progress_data_event,simd,31,0.9974003265012491,0.9767384931650431,1.011277265408209,964.9183333333333
decode_json,progress_id_after_1460,baseline,31,1.0,1.0,1.0,1016.7483333333333
decode_json,progress_id_after_1460,combined,31,0.9873007059465959,0.9771026126369319,0.9999343047687183,1003.8226666666667
decode_json,progress_id_after_1460,core,31,0.9840465995569538,0.9712130112773435,1.0025113204011395,1001.655
decode_json,progress_id_after_1460,fused,31,1.0005647287054455,0.9904727700413941,1.0036473992407602,1017.9306666666666
decode_json,progress_id_after_1460,json_only,31,0.8904007651080754,0.8785584500143789,0.8990157956769727,905.6813333333333
decode_json,progress_id_after_1460,simd,31,1.006754928174762,0.9923394116515557,1.0509811407167402,1027.657
decode_json,progress_id_after_event,baseline,31,1.0,1.0,1.0,1016.1606666666667
decode_json,progress_id_after_event,combined,31,0.9855011782535119,0.9692560428018353,0.9969214542620533,1004.2326666666667
decode_json,progress_id_after_event,core,31,1.0026991644853096,0.9768787080708278,1.0154815543088704,1021.4826666666667
decode_json,progress_id_after_event,fused,31,1.000098682912067,0.9787645940059708,1.0186084497412056,1017.7106666666666
decode_json,progress_id_after_event,json_only,31,0.8943988250611975,0.8716183211300731,0.9068258500716717,910.5153333333334
decode_json,progress_id_after_event,simd,31,1.0024933082801806,0.9804039624704012,1.013628533675853,1020.4626666666667
decode_json,progress_meta_before_1460,baseline,31,1.0,1.0,1.0,1070.4966666666667
decode_json,progress_meta_before_1460,combined,31,0.9768957028738657,0.9336419761414324,1.079947042432764,1037.7966666666666
decode_json,progress_meta_before_1460,core,31,0.9672897826691946,0.9431514025871102,1.0126771771767005,1032.113
decode_json,progress_meta_before_1460,fused,31,0.9959067870541655,0.9606495332626879,1.0434819055710116,1059.9216666666666
decode_json,progress_meta_before_1460,json_only,31,0.8653455940830406,0.8347836796272444,0.8787563788586246,917.6346666666667
