run,scenario,implementation,mean_ns,ci95_low_ns,ci95_high_ns,sample_count
fused,keepalive_4b_chunks,sse_stream,10456411.491666667,10177316.464166667,10802758.830625,30
fused,keepalive_line_chunks,sse_stream,3787715.092913827,3640194.639062694,3935344.9610243444,30
fused,keepalive_tcp_chunks,sse_stream,1063960.9062546343,1020164.0840743385,1113087.5976146806,30
fused,keepalive_whole_stream_chunk,sse_stream,1045551.3595497175,981986.1103953008,1125464.0499100469,30
fused,large_data_event_chunks,sse_stream,90663.22751029507,88006.43667979923,93897.07473603569,30
fused,large_data_tcp_chunks,sse_stream,134561.85827659417,132574.00866521712,137883.17742928868,30
fused,medium_data_10b_chunks,sse_stream,1920008.6926950116,1848042.4625735532,2006131.6524706304,30
fused,metadata_events_tcp_chunks,sse_stream,4291916.979166667,4145742.3633333333,4483506.100833333,30
fused,multiline_data_tcp_chunks,sse_stream,3036430.159012814,2871435.4494631467,3232045.0985590853,30
fused,small_data_4b_chunks,sse_stream,10253303.616666667,10136280.153541667,10405245.332916668,30
fused,small_data_event_chunks,sse_stream,3790956.1204793463,3736616.4880257486,3862402.2821301273,30
fused,small_data_tcp_chunks,sse_stream,3293992.8560218285,3236826.4324920387,3367041.2748731533,30
fused,small_data_whole_stream_chunk,sse_stream,3234110.7395869,3203077.2030350463,3277589.3047677935,30
inline,keepalive_4b_chunks,sse_stream,11791360.51111111,11614663.343055557,12019558.326111112,30
inline,keepalive_line_chunks,sse_stream,3938796.619359335,3842033.981979541,4060647.7976007275,30
inline,keepalive_tcp_chunks,sse_stream,976239.884468311,965209.330481618,994894.6917606957,30
inline,keepalive_whole_stream_chunk,sse_stream,951311.820967088,933782.748499652,973354.177915598,30
inline,large_data_event_chunks,sse_stream,90064.56913070678,88118.04012438779,92536.26055738107,30
inline,large_data_tcp_chunks,sse_stream,141745.3656573018,138619.929596625,145650.6488415668,30
inline,medium_data_10b_chunks,sse_stream,2058239.2203011923,2037942.3125742755,2084274.9087754786,30
inline,metadata_events_tcp_chunks,sse_stream,4465996.249535271,4338915.640369282,4619071.544573475,30
inline,multiline_data_tcp_chunks,sse_stream,2892490.3020872115,2845414.66540018,2946254.437636605,30
inline,small_data_4b_chunks,sse_stream,11581129.888888888,11403677.593333334,11800605.04055556,30
inline,small_data_event_chunks,sse_stream,4593618.7375,4482338.038125,4717403.67875,30
inline,small_data_tcp_chunks,sse_stream,4094781.0006742394,3986014.087932703,4209868.315339986,30
inline,small_data_whole_stream_chunk,sse_stream,4058819.3775839484,3950659.513199977,4175402.6451731077,30
poll,keepalive_4b_chunks,sse_stream,9039041.733333332,8943155.017916666,9157492.069375,30
poll,keepalive_line_chunks,sse_stream,3110178.9121154593,3079748.4126126836,3150772.098397718,30
poll,keepalive_tcp_chunks,sse_stream,1029833.7320984321,1018379.2453437053,1049201.468551441,30
poll,keepalive_whole_stream_chunk,sse_stream,963528.6608339256,951208.725196881,983740.4067302741,30
poll,large_data_event_chunks,sse_stream,88558.55411976273,87091.25869961095,90433.17173001794,30
poll,large_data_tcp_chunks,sse_stream,136285.64998009228,134241.52666592062,138865.67203960856,30
poll,medium_data_10b_chunks,sse_stream,1739924.756821822,1701600.3587549147,1784992.910246923,30
poll,metadata_events_tcp_chunks,sse_stream,3903005.250280645,3862663.4336123466,3953454.264232248,30
poll,multiline_data_tcp_chunks,sse_stream,2469457.5385904075,2423710.4890673156,2533671.8512685294,30
poll,small_data_4b_chunks,sse_stream,9303879.1,9177545.305416666,9473494.289583333,30
poll,small_data_event_chunks,sse_stream,4439436.716666667,4376030.4773958335,4522898.270104167,30
poll,small_data_tcp_chunks,sse_stream,3535271.4350926075,3478681.4374673697,3605599.7628209554,30
poll,small_data_whole_stream_chunk,sse_stream,3401855.1156402356,3367247.858614832,3448635.710845608,30
scan0,keepalive_4b_chunks,sse_stream,10819199.933333335,10662628.744444443,11001368.653888887,30
scan0,keepalive_line_chunks,sse_stream,3601460.9236618713,3522904.160070687,3691069.4067023294,30
scan0,keepalive_tcp_chunks,sse_stream,1091397.9694607523,1063866.7879140559,1125716.3674895982,30
scan0,keepalive_whole_stream_chunk,sse_stream,1052049.6055130572,1032007.6099915679,1074445.7493147147,30
scan0,large_data_event_chunks,sse_stream,89502.07914627015,87538.97091941941,91905.16255775423,30
scan0,large_data_tcp_chunks,sse_stream,127381.34856966992,125340.82899422858,130010.71392560686,30
scan0,medium_data_10b_chunks,sse_stream,1900394.6949575576,1851676.7782414544,1956585.364521523,30
scan0,metadata_events_tcp_chunks,sse_stream,4141722.656771039,4012519.1491674115,4297353.157698605,30
scan0,multiline_data_tcp_chunks,sse_stream,2525188.373506783,2477266.1034497004,2592362.258734038,30
scan0,small_data_4b_chunks,sse_stream,10436127.708333334,10224981.736666666,10691921.399166666,30
scan0,small_data_event_chunks,sse_stream,4103531.086223156,4040130.1568851704,4180867.679519756,30
