kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,metadata_events_tcp_chunks,1,current,3822444.0849999995,3715711.4000000004,3744359.562625,3921016.0578749995
decode,metadata_events_tcp_chunks,1,baseline,4435914.70625,4274321.875,4301793.67078125,4619045.84421875
decode,metadata_events_tcp_chunks,1,core,4493853.35,4452912.125,4456883.5534375,4543094.979687501
decode,metadata_events_tcp_chunks,2,current,3751665.039999999,3698977.7,3696937.0907499995,3819564.929124999
decode,metadata_events_tcp_chunks,2,baseline,4372774.8125,4245634.625,4269156.88765625,4521674.90359375
decode,metadata_events_tcp_chunks,2,core,4492874.49375,4465339.0,4464105.889374999,4541391.19109375
decode,metadata_events_tcp_chunks,3,current,4131173.08125,3954494.5,3985094.13765625,4314137.28359375
decode,metadata_events_tcp_chunks,3,baseline,4809318.7375,4483605.75,4577935.8075,5087833.557031251
decode,metadata_events_tcp_chunks,3,core,4669080.43125,4525110.75,4581447.249687499,4769096.171875
decode,multiline_data_tcp_chunks,1,current,2414809.4321428575,2331743.7142857146,2345971.115446429,2507102.9874107144
decode,multiline_data_tcp_chunks,1,baseline,2923534.054166667,2767227.083333333,2796052.0874999994,3083848.808020833
decode,multiline_data_tcp_chunks,1,core,2867091.349999999,2711787.1428571427,2762642.999375,2997976.2316964287
decode,multiline_data_tcp_chunks,2,current,2366583.260714286,2323004.1428571427,2323893.045357143,2426362.4325892865
decode,multiline_data_tcp_chunks,2,baseline,3131196.8124999995,2907829.166666667,2973307.528229166,3327742.540104166
decode,multiline_data_tcp_chunks,2,core,2933032.1535714287,2720781.1428571427,2792696.7635714295,3110693.722857143
decode,multiline_data_tcp_chunks,3,current,2737814.803125,2568570.25,2601671.443984375,2901802.17640625
decode,multiline_data_tcp_chunks,3,baseline,3177976.583333333,2916527.0,3006169.731458333,3373720.1803125003
decode,multiline_data_tcp_chunks,3,core,3137882.9464285704,2934340.7857142854,2987730.8747321423,3309807.291696428
decode,keepalive_whole_stream_chunk,1,current,966500.4882199711,956971.2054093566,946525.6706555311,988111.8929662455
decode,keepalive_whole_stream_chunk,1,baseline,1099261.5113749832,967669.3794642857,1040554.862345986,1159774.8136173678
decode,keepalive_whole_stream_chunk,1,core,1209408.8806928638,1044079.2483870968,1061380.6723941532,1423058.9574458739
decode,keepalive_whole_stream_chunk,2,current,1070623.7771595013,979667.0717391304,1016518.1831134337,1131194.3906779215
decode,keepalive_whole_stream_chunk,2,baseline,954795.7829787887,948409.8825757576,950577.0433302853,960692.6493818533
decode,keepalive_whole_stream_chunk,2,core,1073915.9766294383,1040708.2261904762,1052930.8085594804,1098562.5608923447
decode,keepalive_whole_stream_chunk,3,current,1021665.4037321046,991242.8535087719,976702.970717992,1078040.7491626807
decode,keepalive_whole_stream_chunk,3,baseline,1060406.8000617102,1004044.925729443,1013567.7684749755,1125153.4545224227
decode,keepalive_whole_stream_chunk,3,core,1175211.7958866418,1124152.3777777776,1135124.102816336,1224566.930453726
decode,keepalive_tcp_chunks,1,current,921467.0505895065,900321.175,901361.8122002968,945925.3692931333
decode,keepalive_tcp_chunks,1,baseline,1015297.4566174423,985137.1928571428,990079.393872787,1048152.1891235384
decode,keepalive_tcp_chunks,1,core,1105151.8499816675,1084723.339170507,1086305.0814130777,1128501.062936121
decode,keepalive_tcp_chunks,2,current,901332.547169077,898734.1417797888,898769.370894409,905561.796865858
