kind,case,bytes,chunks,events,validation,current_ns,current_ns_min,current_ns_max,current_mib_s,baseline_ns,baseline_ns_min,baseline_ns_max,baseline_mib_s,core_ns,core_ns_min,core_ns_max,core_mib_s,speedup_vs_baseline,speedup_vs_baseline_min,speedup_vs_baseline_max,time_change_vs_baseline_pct,consistency_vs_baseline,speedup_vs_core,speedup_vs_core_min,speedup_vs_core_max,time_change_vs_core_pct,consistency_vs_core
decode,large_data_event_chunks,2561408,64,64,all_three_match_reference,77082.7798583953,75591.11384517967,80257.37069459821,31689.944601439453,77642.93693748981,75553.48597429217,79237.42752453715,31461.316634688264,95310.9841466315,94104.17850703493,98859.6261635359,25629.249821609697,0.9995022183299935,0.9674243781663736,1.027952386643295,0.04980295800025569,mixed_or_near_boundary,1.2364756995235806,1.2317825180160022,1.2449105949116241,-19.124977515910402,all_rounds_faster_over_3pct
decode,large_data_tcp_chunks,2561408,1755,64,all_three_match_reference,118308.59477159337,117546.9892172423,145797.5165375415,20647.26597550645,120700.89077486537,120015.68575326385,128765.2760723674,20238.03642007732,138753.27180874354,134444.0233864851,145902.7005028486,17604.98323098692,1.0144291375023615,0.8831788025635646,1.0268309854520752,-1.4223898909181187,mixed_or_near_boundary,1.1363842470282297,0.9516847413036412,1.2412287330745768,-12.001596060917741,mixed_or_near_boundary
decode,medium_data_10b_chunks,1054208,105421,256,all_three_match_reference,1926217.511111111,1782026.8931818183,1950041.6275000009,521.9405845656892,1954471.2175,1819924.6386363637,2013704.165625,514.3954460664755,1924085.4,1782401.159778788,1932514.8699999996,522.5189556295163,1.0212666518106686,1.0146679729708155,1.0326467585241326,-2.0823799321130987,mixed_or_near_boundary,0.9988931098908549,0.9910121110991508,1.0002100229791153,0.11081166725297464,all_rounds_within_3pct
decode,json_line_tcp,2440000,1672,20000,all_three_match_reference,937933.6133173842,850074.8163691344,964828.9362875003,2480.948863535223,1143845.498001356,1019771.8799284201,1145860.7684403644,2034.3353504447603,955828.4882919382,806660.8936145424,1030202.1645671537,2434.5009178263017,1.1996260332521096,1.187631014518951,1.2195378028469206,-16.640688657859158,all_rounds_faster_over_3pct,0.9906714572324143,0.9489292919651204,1.0983742878383729,0.9416383907583592,mixed_or_near_boundary
decode,json_metadata_after_tcp,2720000,1864,20000,all_three_match_reference,1457219.8359609896,1380913.0801206056,1600649.074551261,1780.098017204346,1698709.9527777776,1634585.6668884433,1701920.094871518,1527.037700805384,1687601.5874982928,1674052.3888425138,1886912.752974005,1537.0891801958703,1.1679226791125557,1.061263196153103,1.1836991700778752,-14.377893512621187,all_rounds_faster_over_3pct,1.2220911017447251,1.0458584679542149,1.294871718329065,-18.173039753554832,all_rounds_faster_over_3pct
decode,json_crlf_tcp,3100000,2124,20000,all_three_match_reference,2267835.305555555,2113841.969444444,2313611.7250000006,1303.617759903929,2201251.7321428573,2180681.7888888894,2313330.5416666665,1343.0496556527005,2298832.717857143,2290067.2583333333,2446974.871875,1286.0398052865607,1.0200610846826756,0.9514352422910792,1.031620064513154,-1.9666552311341512,mixed_or_near_boundary,1.0789914355247068,0.993612148925785,1.083367295869901,-7.320858435386346,mixed_or_near_boundary
decode,large_utf8_tcp,2561024,1755,64,all_three_match_reference,243851.43499795083,224562.03585955832,258309.6867301911,10015.864013761184,222677.30362213255,221290.30899384097,235126.3903899206,10968.261123929131,1024539.373023167,1005844.1694753353,1027350.1621470128,2383.8837987193415,0.9131679033342731,0.9102499924267808,0.9854306323275253,9.508886191539867,mixed_or_near_boundary,4.124823663571173,3.9663219215364385,4.574905808163942,-75.75653939266282,all_rounds_faster_over_3pct
decode,large_utf8_event,2561024,64,64,all_three_match_reference,191188.25593791294,182601.86260241864,204842.40172418585,12774.753347261805,190762.24004174242,189465.37354939,199805.29602154758,12803.282305583956,968035.6529268533,942229.1018141428,1040499.688024077,2523.0298131225454,0.997771746522397,0.9754098484481715,1.0375872997632853,0.22332296794025375,mixed_or_near_boundary,5.079513222194488,5.063258975704115,5.160019116922538,-80.31307418138833,all_rounds_faster_over_3pct
decode,large_json_utf8_tcp,2561728,1755,64,all_three_match_reference,240959.00876196264,233590.2298501072,253636.6282970205,10138.878856495388,234438.09978619794,222959.10471019297,240886.4311787127,10420.89234406335,1145988.0834301077,1113885.5266190616,1154305.1521417089,2131.8321146118174,0.9252988956741961,0.9243069558220898,1.0312350449472454,8.073186369835096,mixed_or_near_boundary,4.755946205614585,4.55101914850391,4.7685450172031265,-78.97368984494695,all_rounds_faster_over_3pct
decode,large_json_escaped_tcp,2561728,1755,64,all_three_match_reference,131084.1469980348,116605.32927681257,137556.07947151054,18637.297149710834,134423.3989297698,114951.87459534888,143885.27272740664,18174.32246669448,144883.63400150408,140419.6238362832,154090.53631709947,16862.18195764877,1.0254741096326856,0.9858200762202,1.0460117304899414,-2.484129964218229,mixed_or_near_boundary,1.1202015709455677,1.1052719746780377,1.204229898471769,-10.730351935152616,all_rounds_faster_over_3pct
