experiment,scenario,variant,paired_rounds,median_ns,median_ratio_vs_baseline,ratio_p10,ratio_p90
screen-bytes.csv,small_4b,reuse_copy,31,10022338.0,1.0046054035489755,0.968851818550115,1.0448145054652642
screen-bytes.csv,small_4b,simd,31,9978984.0,0.999503974080161,0.9760751355673157,1.0424164443074833
screen-bytes.csv,small_event,adaptive,31,3915135.0,0.8549697199988416,0.8397689578114915,0.8768094151550916
screen-bytes.csv,small_event,baseline,31,4581609.0,1.0,1.0,1.0
screen-bytes.csv,small_event,capped,31,4336233.0,0.945624754152562,0.9325033308111287,0.971698628128894
screen-bytes.csv,small_event,comment,31,4277898.0,0.932093862344513,0.9129598322709525,0.9525232221996734
screen-bytes.csv,small_event,core,31,4460476.0,0.9805590132200281,0.9656566879322034,1.017122195640125
screen-bytes.csv,small_event,fused_direct,31,3709488.0,0.8120786095332202,0.7942023772941866,0.8455900018279785
screen-bytes.csv,small_event,fused_dispatch,31,3940414.0,0.8590119531631873,0.8432156868017545,0.8780139622104908
screen-bytes.csv,small_event,lazy,31,4734659.0,1.040825519689164,1.0174774075164015,1.0545307965655368
screen-bytes.csv,small_event,poll,31,4405743.0,0.9639824479006621,0.905203632445235,0.9815215451645438
screen-bytes.csv,small_event,previous_combo,31,3648723.0,0.7951932075313574,0.7525353266959585,0.8147937247573733
screen-bytes.csv,small_event,reserve,31,4300583.0,0.9402893187723242,0.9241985579866199,0.9607254860942632
screen-bytes.csv,small_event,reuse_copy,31,4354842.0,0.9499270427587518,0.9274443247035853,0.9710060501503766
screen-bytes.csv,small_event,simd,31,4254223.0,0.9262714694049282,0.9091716720804304,0.9530339590110026
screen-bytes.csv,small_tcp,adaptive,31,3578628.0,0.8686663274522645,0.8557049055207123,0.934568658696073
screen-bytes.csv,small_tcp,baseline,31,4135470.0,1.0,1.0,1.0
screen-bytes.csv,small_tcp,capped,31,3859814.0,0.9359064386877428,0.9151352474852917,1.0050225977443683
screen-bytes.csv,small_tcp,comment,31,3993742.0,0.9665735855854979,0.9321570104183478,0.9875837121888509
screen-bytes.csv,small_tcp,core,31,3217248.0,0.7808243464934924,0.7635652102061296,0.8057318967330696
screen-bytes.csv,small_tcp,fused_direct,31,3244994.0,0.7836614576542681,0.7706500826510426,0.8027019860493443
screen-bytes.csv,small_tcp,fused_dispatch,31,3420455.0,0.8264444958355077,0.8155382465691797,0.8546522915141292
screen-bytes.csv,small_tcp,lazy,31,4263401.0,1.032645653227122,1.0175422669053324,1.0580557969332736
screen-bytes.csv,small_tcp,poll,31,3414339.0,0.823549696873882,0.809357063809512,0.842850846755066
screen-bytes.csv,small_tcp,previous_combo,31,2748634.0,0.6642457334754115,0.655270155885449,0.6866323368982856
screen-bytes.csv,small_tcp,reserve,31,3807814.0,0.9251300841801291,0.9086187485242936,0.957555896266542
screen-bytes.csv,small_tcp,reuse_copy,31,3879734.0,0.9396276881733451,0.9257711179844449,0.9749385283957033
screen-bytes.csv,small_tcp,simd,31,3801388.0,0.9178051598885376,0.9020900012083969,0.9335613199552351
screen-bytes.csv,small_whole,adaptive,31,3520486.0,0.8619316111566022,0.8482135983936379,0.912601424497803
screen-bytes.csv,small_whole,baseline,31,4095171.0,1.0,1.0,1.0
screen-bytes.csv,small_whole,capped,31,3828704.0,0.9322045819509942,0.9081982811248045,0.9599307512226305
screen-bytes.csv,small_whole,comment,31,3975500.0,0.9739345675225735,0.9533579541025399,1.0263724970163108
screen-bytes.csv,small_whole,core,31,3226115.0,0.7866974524638963,0.77684915903953,0.8248697796222523
screen-bytes.csv,small_whole,fused_direct,31,3200707.0,0.7832494292499355,0.7623304135556007,0.8089181316203764
