run,scenario,implementation,mean_ns,mean_ci95_low,mean_ci95_high,median_ns
1,multiline_data_tcp_chunks,sse_baseline,2797404.779166667,2778476.412291667,2823446.62125,2773466.5
1,multiline_data_tcp_chunks,sse_stream,2872565.3083333336,2809920.5140624996,2941989.7755208327,2882946.75
1,small_data_4b_chunks,sse_core,9845400.066666666,9435476.987499999,10320976.438958334,9425404.0
1,small_data_4b_chunks,sse_baseline,10494707.6375,10313985.556875,10686392.3509375,10347509.0
1,small_data_4b_chunks,sse_stream,10133492.799999999,9826422.766041666,10502140.663750002,9938346.0
1,small_data_event_chunks,sse_core,4635415.844999999,4502051.026000001,4811633.45725,4493076.1
1,small_data_event_chunks,sse_baseline,4547817.615,4375847.85425,4756141.5015,4310531.9
1,small_data_event_chunks,sse_stream,4064932.179166666,3919379.9723958336,4232782.9834375,3929312.25
1,small_data_tcp_chunks,sse_core,3521443.108333333,3375254.8301041657,3699363.381458334,3305875.166666667
1,small_data_tcp_chunks,sse_baseline,4102992.9300000006,3944784.0385,4291798.449624999,3870773.2
1,small_data_tcp_chunks,sse_stream,3008173.45,2896523.593203125,3144069.62109375,2850541.375
1,small_data_whole_stream_chunk,sse_core,3535398.7285714285,3402104.989375,3697562.473303572,3352782.6428571427
1,small_data_whole_stream_chunk,sse_baseline,4060742.8916666666,3942361.764791667,4205301.6248958325,3938644.0
1,small_data_whole_stream_chunk,sse_stream,2993889.675,2890452.7775781252,3117716.81828125,2845719.3125
2,keepalive_4b_chunks,sse_core,9314438.475,9132578.3390625,9524008.780625,8986366.5
2,keepalive_4b_chunks,sse_baseline,10029700.575,9895152.8021875,10182479.08375,9800164.0
2,keepalive_4b_chunks,sse_stream,9249312.225000001,9028982.118125001,9531980.267708331,9064736.666666668
2,keepalive_line_chunks,sse_core,3239146.7785714283,3096070.9714285717,3413000.722589286,3006825.0714285714
2,keepalive_line_chunks,sse_baseline,3390500.4321428565,3265315.9475892857,3548446.904017856,3205673.3571428573
2,keepalive_line_chunks,sse_stream,3200760.099999999,3074804.5649999995,3357521.424553571,3009493.8571428573
2,keepalive_tcp_chunks,sse_core,1236100.2741945891,1171065.0211172937,1310844.5134379924,1129999.4821428573
2,keepalive_tcp_chunks,sse_baseline,1055327.8201455588,1012033.0893146838,1112444.4598195134,1001187.05
2,keepalive_tcp_chunks,sse_stream,964178.7088293092,932956.7111265477,1005180.675347883,928391.9422077922
2,keepalive_whole_stream_chunk,sse_core,1110133.89037402,1077894.3582868343,1149485.6835778481,1067670.1325604839
2,keepalive_whole_stream_chunk,sse_baseline,1220504.9789657241,1100226.8155194812,1351828.3956597166,962879.5753968253
2,keepalive_whole_stream_chunk,sse_stream,1050366.3654345009,1006410.3016510264,1105777.6790907132,1016838.9
2,large_data_event_chunks,sse_core,100681.4579659756,95452.00504984683,106673.76470682005,90145.16058310376
