run,scenario,variant,mean_ns,mean_ci_low,mean_ci_high,median_ns,ratio_to_baseline,ratio_to_step1,ratio_to_core
full,keepalive_line_chunks,baseline,3957432.59,3892967.8147499985,4030100.861624998,3911698.4000000004,1.0,0.9835742648543485,0.9459565167229214
full,keepalive_line_chunks,core,4183524.845,4125861.0605000006,4250377.5075,4090894.7,1.0571310438922727,1.039766889351052,1.0
full,keepalive_line_chunks,step1,4023521.8949999996,3970463.4129999997,4082715.342499999,3945569.4,1.016700045672793,1.0,0.9617540337566705
full,keepalive_line_chunks,step2,4029084.545000001,3975116.6242500003,4088445.509750001,3956294.9000000004,1.0181056665831927,1.0013825325536103,0.9630836900169051
full,keepalive_tcp_chunks,baseline,1010618.268948479,986293.4054532439,1047377.2708279684,986011.1073414905,1.0,1.0123027444202795,0.9132264260813402
full,keepalive_tcp_chunks,core,1106645.8876853222,1080172.3255208582,1142554.8263956765,1074196.8113810741,1.0950186847866479,1.1084904198010086,1.0
full,keepalive_tcp_chunks,step1,998335.9963399436,982804.9807061728,1018982.3660506142,982130.4305555555,0.9878467736177827,1.0,0.9021277785869505
full,keepalive_tcp_chunks,step2,1010444.130372166,988286.9359154366,1040327.4934696385,984778.5740740742,0.9998276910464976,1.0121283155937608,0.9130690689915514
full,keepalive_whole_stream_chunk,baseline,1083755.6673133145,1055523.220981857,1119515.0148715714,1056700.1214285716,1.0,1.1044074033123796,1.0175868072796894
full,keepalive_whole_stream_chunk,core,1065025.2730875255,1048234.5613045729,1088204.0094115352,1043992.8565668203,0.9827171429956878,1.085320088086428,1.0
full,keepalive_whole_stream_chunk,step1,981300.617926749,957777.4899222646,1010870.2102749518,947853.3214285714,0.9054629632151713,1.0,0.9213871658481331
full,keepalive_whole_stream_chunk,step2,1202986.9113721042,1145715.2436693239,1268292.3045229267,1091780.5692934783,1.1100167202395075,1.2259106836330387,1.1295383703755928
full,large_data_event_chunks,baseline,91656.88711908084,90348.71639255657,93238.32301281573,90009.98212058212,1.0,1.1934969504113995,0.9684241106981405
full,large_data_event_chunks,core,94645.39978564253,93366.21356498393,96289.57900684154,93121.77222222222,1.0326054349050606,1.2324114375374269,1.0
