mode,scenario,variant,reference,rounds,ratio_median,ratio_p10,ratio_p90
bytes_tokio,json_metadata_after_tcp,step1,baseline,31,1.0143865026245171,1.0000572474784057,1.0349156871965868
bytes_tokio,json_metadata_after_tcp,step1,core,31,0.9838286226719603,0.9785131271583064,0.9919983665101696
bytes_tokio,keepalive_4b_chunks,baseline,step1,31,0.9972379426225036,0.9829747396534965,1.0102534103129395
bytes_tokio,keepalive_4b_chunks,baseline,core,31,1.0487137006371527,1.0367055874391395,1.066565865785357
bytes_tokio,keepalive_4b_chunks,core,baseline,31,0.953549094850619,0.9375886028976356,0.9645940102147907
bytes_tokio,keepalive_4b_chunks,core,step1,31,0.9511332087332521,0.9257101062854999,0.9619297462125881
bytes_tokio,keepalive_4b_chunks,step1,baseline,31,1.0027697074684432,0.9898506550848828,1.0173201402433851
bytes_tokio,keepalive_4b_chunks,step1,core,31,1.0513774420008215,1.0395769586472465,1.0802517907172857
bytes_tokio,keepalive_line_chunks,baseline,step1,31,0.9967532769819991,0.9677011436996501,1.024019125670361
bytes_tokio,keepalive_line_chunks,baseline,core,31,1.0644174460274451,0.973899333773413,1.0911503914991292
bytes_tokio,keepalive_line_chunks,core,baseline,31,0.9394810313680407,0.9164639519820014,1.0268001684788703
bytes_tokio,keepalive_line_chunks,core,step1,31,0.9410310645099119,0.9026585570149326,1.0056361891424177
bytes_tokio,keepalive_line_chunks,step1,baseline,31,1.0032572985642259,0.976544260680056,1.0333768917300925
bytes_tokio,keepalive_line_chunks,step1,core,31,1.0626641751946828,0.9943953994463702,1.107838608772483
bytes_tokio,keepalive_tcp_chunks,baseline,step1,31,1.0330821393738312,1.0279736874594791,1.0423143324217377
bytes_tokio,keepalive_tcp_chunks,baseline,core,31,0.9469843304013514,0.9323621246969175,0.9586554750587223
bytes_tokio,keepalive_tcp_chunks,core,baseline,31,1.0559836819857193,1.0431276157252898,1.072544640662092
bytes_tokio,keepalive_tcp_chunks,core,step1,31,1.092585835270956,1.07568119719621,1.1150861924414062
bytes_tokio,keepalive_tcp_chunks,step1,baseline,31,0.9679772419704373,0.9594034821305549,0.9727875452448468
bytes_tokio,keepalive_tcp_chunks,step1,core,31,0.9152598978660608,0.8967916621858328,0.9296434692793042
bytes_tokio,keepalive_whole_stream_chunk,baseline,step1,31,0.9637076331399694,0.9119964277706288,1.0102272478745116
bytes_tokio,keepalive_whole_stream_chunk,baseline,core,31,0.8752777095670659,0.8312927303638178,0.9187331111973055
bytes_tokio,keepalive_whole_stream_chunk,core,baseline,31,1.142494535242563,1.0884553825395347,1.202945681435644
bytes_tokio,keepalive_whole_stream_chunk,core,step1,31,1.097998045739013,1.0393016778450193,1.198878925742932
bytes_tokio,keepalive_whole_stream_chunk,step1,baseline,31,1.037659104911084,0.98987628981892,1.0964955229534128
bytes_tokio,keepalive_whole_stream_chunk,step1,core,31,0.9107484333698836,0.8341125851222307,0.9621845334393081
bytes_tokio,large_data_event_chunks,baseline,step1,31,1.1974147196999434,1.190318338035584,1.2037899911095882
bytes_tokio,large_data_event_chunks,baseline,core,31,0.9752756534390391,0.948346241324202,0.9856474602107514
bytes_tokio,large_data_event_chunks,core,baseline,31,1.02535113685426,1.0145615347968122,1.0544671939688108
bytes_tokio,large_data_event_chunks,core,step1,31,1.225185321399208,1.2180667475870148,1.2653509479897822
