mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
bytes_tokio,small_data_tcp_chunks,data_only,12,1,3877355,3877355,100000
bytes_tokio,small_data_tcp_chunks,step1,13,1,3742588,3742588,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,13,1,3849899,3849899,100000
bytes_tokio,small_data_tcp_chunks,data_only,13,1,3885507,3885507,100000
bytes_tokio,small_data_tcp_chunks,baseline,13,1,3776274,3776274,100000
bytes_tokio,small_data_tcp_chunks,step2,13,1,3842204,3842204,100000
bytes_tokio,small_data_tcp_chunks,step1,14,1,3726162,3726162,100000
bytes_tokio,small_data_tcp_chunks,baseline,14,1,3749621,3749621,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,14,1,3822042,3822042,100000
bytes_tokio,small_data_tcp_chunks,data_only,14,1,3850482,3850482,100000
bytes_tokio,small_data_tcp_chunks,step2,14,1,3857357,3857357,100000
bytes_tokio,small_data_tcp_chunks,step1,15,1,3824142,3824142,100000
bytes_tokio,small_data_tcp_chunks,step2,15,1,3863863,3863863,100000
bytes_tokio,small_data_tcp_chunks,baseline,15,1,3804618,3804618,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,15,1,3852892,3852892,100000
bytes_tokio,small_data_tcp_chunks,data_only,15,1,3864840,3864840,100000
bytes_tokio,small_data_tcp_chunks,baseline,16,1,3769345,3769345,100000
bytes_tokio,small_data_tcp_chunks,step1,16,1,3715541,3715541,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,16,1,3836365,3836365,100000
bytes_tokio,small_data_tcp_chunks,data_only,16,1,3881102,3881102,100000
bytes_tokio,small_data_tcp_chunks,step2,16,1,3832323,3832323,100000
bytes_tokio,small_data_tcp_chunks,step1,17,1,3718866,3718866,100000
bytes_tokio,small_data_tcp_chunks,baseline,17,1,3766075,3766075,100000
bytes_tokio,small_data_tcp_chunks,step2,17,1,3839568,3839568,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,17,1,3831306,3831306,100000
bytes_tokio,small_data_tcp_chunks,data_only,17,1,3865486,3865486,100000
bytes_tokio,small_data_tcp_chunks,step1,18,1,3718417,3718417,100000
bytes_tokio,small_data_tcp_chunks,baseline,18,1,3761678,3761678,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,18,1,3858961,3858961,100000
bytes_tokio,small_data_tcp_chunks,step2,18,1,3861412,3861412,100000
bytes_tokio,small_data_tcp_chunks,data_only,18,1,3896078,3896078,100000
bytes_tokio,small_data_tcp_chunks,step2,19,1,3857290,3857290,100000
bytes_tokio,small_data_tcp_chunks,step1,19,1,3714630,3714630,100000
bytes_tokio,small_data_tcp_chunks,baseline,19,1,3768603,3768603,100000
bytes_tokio,small_data_tcp_chunks,data_only,19,1,3886969,3886969,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,19,1,3833593,3833593,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,20,1,3844903,3844903,100000
bytes_tokio,small_data_tcp_chunks,step1,20,1,3723887,3723887,100000
bytes_tokio,small_data_tcp_chunks,step2,20,1,3846645,3846645,100000
bytes_tokio,small_data_tcp_chunks,data_only,20,1,3871112,3871112,100000
bytes_tokio,small_data_tcp_chunks,baseline,20,1,3775411,3775411,100000
bytes_tokio,small_data_tcp_chunks,step1,21,1,3720140,3720140,100000
bytes_tokio,small_data_tcp_chunks,baseline,21,1,3755639,3755639,100000
bytes_tokio,small_data_tcp_chunks,step2,21,1,3900361,3900361,100000
bytes_tokio,small_data_tcp_chunks,data_only,21,1,3916687,3916687,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,21,1,3872206,3872206,100000
bytes_tokio,small_data_tcp_chunks,data_only,22,1,3882202,3882202,100000
bytes_tokio,small_data_tcp_chunks,step2,22,1,3860342,3860342,100000
bytes_tokio,small_data_tcp_chunks,step1,22,1,3739951,3739951,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,22,1,3836962,3836962,100000
bytes_tokio,small_data_tcp_chunks,baseline,22,1,3760189,3760189,100000
bytes_tokio,small_data_tcp_chunks,step1,23,1,3830917,3830917,100000
bytes_tokio,small_data_tcp_chunks,data_only,23,1,3859919,3859919,100000
bytes_tokio,small_data_tcp_chunks,cold_copy,23,1,3824489,3824489,100000
