mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
borrowed_ready,metadata_events_tcp_chunks,step2,15,1,4082917,4082917,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,15,1,3960601,3960601,50000
borrowed_ready,metadata_events_tcp_chunks,step1,15,1,4201847,4201847,50000
borrowed_ready,metadata_events_tcp_chunks,core,15,1,4504622,4504622,50000
borrowed_ready,metadata_events_tcp_chunks,step1,16,1,4250773,4250773,50000
borrowed_ready,metadata_events_tcp_chunks,step2,16,1,4049326,4049326,50000
borrowed_ready,metadata_events_tcp_chunks,core,16,1,4555295,4555295,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,16,1,3954857,3954857,50000
borrowed_ready,metadata_events_tcp_chunks,step2,17,1,4030678,4030678,50000
borrowed_ready,metadata_events_tcp_chunks,core,17,1,4489740,4489740,50000
borrowed_ready,metadata_events_tcp_chunks,step1,17,1,4201948,4201948,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,17,1,4017362,4017362,50000
borrowed_ready,metadata_events_tcp_chunks,core,18,1,4492584,4492584,50000
borrowed_ready,metadata_events_tcp_chunks,step1,18,1,4111078,4111078,50000
borrowed_ready,metadata_events_tcp_chunks,step2,18,1,4053150,4053150,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,18,1,3963068,3963068,50000
borrowed_ready,metadata_events_tcp_chunks,step1,19,1,4194691,4194691,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,19,1,3962450,3962450,50000
borrowed_ready,metadata_events_tcp_chunks,step2,19,1,4072075,4072075,50000
borrowed_ready,metadata_events_tcp_chunks,core,19,1,4500235,4500235,50000
borrowed_ready,metadata_events_tcp_chunks,step1,20,1,4147322,4147322,50000
borrowed_ready,metadata_events_tcp_chunks,core,20,1,4487848,4487848,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,20,1,4006134,4006134,50000
borrowed_ready,metadata_events_tcp_chunks,step2,20,1,4080586,4080586,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,21,1,4015483,4015483,50000
