mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
bytes_tokio,small_data_tcp_chunks,baseline,1,1,3706236,3706236,100000
bytes_tokio,small_data_tcp_chunks,core,1,1,3031081,3031081,100000
bytes_tokio,small_data_tcp_chunks,step1,1,1,3699708,3699708,100000
bytes_tokio,small_data_tcp_chunks,core,2,1,3013890,3013890,100000
bytes_tokio,small_data_tcp_chunks,baseline,2,1,3706518,3706518,100000
bytes_tokio,small_data_tcp_chunks,step1,2,1,3704611,3704611,100000
bytes_tokio,small_data_tcp_chunks,core,3,1,3003759,3003759,100000
bytes_tokio,small_data_tcp_chunks,step1,3,1,3715105,3715105,100000
bytes_tokio,small_data_tcp_chunks,baseline,3,1,3698435,3698435,100000
bytes_tokio,small_data_tcp_chunks,step1,4,1,3694217,3694217,100000
bytes_tokio,small_data_tcp_chunks,baseline,4,1,3702414,3702414,100000
bytes_tokio,small_data_tcp_chunks,core,4,1,3074048,3074048,100000
bytes_tokio,small_data_tcp_chunks,core,5,1,3040549,3040549,100000
bytes_tokio,small_data_tcp_chunks,baseline,5,1,3689845,3689845,100000
bytes_tokio,small_data_tcp_chunks,step1,5,1,3692501,3692501,100000
bytes_tokio,small_data_tcp_chunks,baseline,6,1,3703407,3703407,100000
bytes_tokio,small_data_tcp_chunks,step1,6,1,3704459,3704459,100000
bytes_tokio,small_data_tcp_chunks,core,6,1,3090693,3090693,100000
bytes_tokio,small_data_tcp_chunks,baseline,7,1,3695278,3695278,100000
bytes_tokio,small_data_tcp_chunks,core,7,1,3082014,3082014,100000
bytes_tokio,small_data_tcp_chunks,step1,7,1,3688112,3688112,100000
bytes_tokio,small_data_tcp_chunks,step1,8,1,3685598,3685598,100000
bytes_tokio,small_data_tcp_chunks,baseline,8,1,3701955,3701955,100000
bytes_tokio,small_data_tcp_chunks,core,8,1,3078700,3078700,100000
bytes_tokio,small_data_tcp_chunks,step1,9,1,3697195,3697195,100000
bytes_tokio,small_data_tcp_chunks,core,9,1,3073702,3073702,100000
bytes_tokio,small_data_tcp_chunks,baseline,9,1,3735771,3735771,100000
bytes_tokio,small_data_tcp_chunks,step1,10,1,3680314,3680314,100000
bytes_tokio,small_data_tcp_chunks,baseline,10,1,3710525,3710525,100000
bytes_tokio,small_data_tcp_chunks,core,10,1,3067472,3067472,100000
bytes_tokio,small_data_tcp_chunks,baseline,11,1,3730502,3730502,100000
bytes_tokio,small_data_tcp_chunks,core,11,1,3050151,3050151,100000
bytes_tokio,small_data_tcp_chunks,step1,11,1,3726112,3726112,100000
bytes_tokio,small_data_tcp_chunks,core,12,1,3049164,3049164,100000
bytes_tokio,small_data_tcp_chunks,step1,12,1,3695295,3695295,100000
